,transactionid,accountid,transactionamount,transactiondate,transactiontype,location,deviceid,ip_address,merchantid,channel,customerage,customeroccupation,transactionduration,loginattempts,accountbalance,previoustransactiondate,transaction_hour,transaction_day,is_senior_citizen,amount_category
698,TX001117,AC00105,122.35,2023-04-12 17:50:00,Credit, Atlanta ,D000649,219.219.117.136,M008,Branch,53,Retired,188,1,"$6,472.50",2024-11-04 08:09:00,17,Wednesday,0,Medium
699,TX001787,AC00162,33.76,2023-01-16 17:39:00,Debit,Seattle,D000311,122.94.26.104,M024,Online,26, Engineer ,227,1,3253.51,2024-11-04 08:08:00,17,Monday,0,Low
700,TX000367,AC00332,124.35,2023-12-08 16:39:00,Debit,Oklahoma City,,49.20.211.229,M015,ATM,72,Retired,90,1,3319.76,2024-11-04 08:11:00,16,Friday,1,Medium
701,TX000283,AC00026,329.69,2023-01-09 16:54:00, Credit , San Antonio ,D000278,146.69.70.214,M088,Online,26,Student,66,1,1671.66,2024-11-04 08:09:00,16,Monday,0,Medium
702,TX000909,AC00076,366.43,2023-01-30 16:38:00, Credit , Portland ,D000069,40.244.94.218,M080,Online,21,Student,92,1,1560.45,2024-11-04 08:09:00,16,Monday,0,High
703,TX001340,AC00175,557.41,2023-04-14 16:52:00,Credit,Washington,D000180,194.29.57.163,M087,Online,80,Retired,49,1,2968.75,2024-11-04 08:09:00,16,Friday,1,High
704,TX001563,AC00112,554.15,2023-04-18 17:17:00,Debit, ##### ,D000087,151.247.130.190,M066,ATM,49, Doctor ,108,1,"$14,817.22",2024-11-04 08:12:00,17,Tuesday,0,High
705,TX000313,AC00219,100.66,2023-06-16 18:58:00,Debit,Dallas,D000511,86.220.59.252,M024,Branch,50,Doctor,144,1,14473.33,2024-11-04 08:11:00,18,Friday,0,Low
706,TX001063,AC00456,68.1,2023-01-02 16:00:00, Debit ,,,94.227.164.192,M089,ATM,20,Student,47,1,1382.8,2024-11-04 08:10:00,16,Monday,0,Low
707,TX001314,AC00187,333.97,2023-03-22 16:18:00,Debit,Fresno,D000305,98.39.212.221,M011,Branch,52,Doctor,45,1,5237.36,2024-11-04 08:11:00,16,Wednesday,0,High
708,TX001413,AC00219,33.65,2023-09-18 17:18:00,Credit,,D000470,49.31.186.82,M067,Online,63,Doctor,146,1,12719.93,2024-11-04 08:07:00,17,Monday,1,Low
709,TX000300,AC00035,211.18,2023-10-16 16:09:00,Debit,Washington,D000428,64.89.183.39,M059,ATM,73,Retired,90,1,"$4,069.17",2024-11-04 08:11:00,16,Monday,1,Medium
710,TX002376,AC00384,,2023-07-24 17:07:00,Debit,Houston,D000078,52.1.78.30,M017,ATM,21, Student ,220,1,$707.95,2024-11-04 08:08:00,17,Monday,0,
711,TX000936,AC00320,20.64,2023-04-20 16:01:00,Debit,Charlotte,D000063,197.23.128.119,M079,Branch,22,Student,59,1,949.38,2024-11-04 08:09:00,16,Thursday,0,Low
712,TX000923,AC00061,21.15,2023-11-20 16:06:00,Debit,Columbus,D000484,159.37.30.154,M058,Branch,70,Retired,180,1,"$3,466.74",2024-11-04 08:09:00,16,Monday,1,Low
713,TX000846,AC00092,793.13,2023-05-10 16:38:00,Debit,Memphis,,173.232.121.213,M035,Online,68,Doctor,76,1,"$13,389.16",2024-11-04 08:09:00,16,Wednesday,1,High
714,TX000580,AC00192,332.0,2023-04-27 16:27:00, Debit ,Charlotte,D000101,197.23.128.119,M038,ATM,69,Retired,17,1,5943.13,2024-11-04 08:07:00,16,Thursday,1,High
715,TX000335,AC00077,,2023-04-14 17:59:00,Debit,Indianapolis,D000280,138.181.222.38,M094,ATM,21, Student ,166,1,"$1,802.77",2024-11-04 08:07:00,17,Friday,0,
716,TX000064,AC00325,601.4,2023-05-30 17:43:00,Credit, Philadelphia ,D000548,125.225.212.244,M001,Branch,56,Engineer,104,1,8458.29,2024-11-04 08:08:00,17,Tuesday,0,High
717,TX001098,AC00295,451.35,2023-09-05 18:45:00,Credit, Baltimore ,D000440,42.61.10.112,M028,Branch,47,Engineer,223,1,7707.96,2024-11-04 08:07:00,18,Tuesday,0,High
718,TX000618,AC00366,115.11,2023-05-05 17:34:00,Debit, Albuquerque ,D000632,190.164.160.79,M011,Online,28,Engineer,139,1,"$9,808.97",2024-11-04 08:10:00,17,Friday,0,Low
719,TX000590,AC00144,518.85,2023-10-23 18:37:00, Debit ,Kansas City,D000100,73.54.203.165,M038,Online,22,Student,82,1,1806.0,2024-11-04 08:06:00,18,Monday,0,High
720,TX002402,AC00073,,2023-10-12 17:39:00,Debit, Raleigh ,D000114,115.96.94.156,M024,Online,60,Retired,84,1,"$3,506.11",2024-11-04 08:08:00,17,Thursday,1,
721,TX002154,AC00439,154.99,2023-08-28 17:07:00,Debit,Mesa,D000582,82.51.236.134,M025,Branch,25, Student ,53,1,1419.31,2024-11-04 08:08:00,17,Monday,0,Medium
722,TX001469,AC00396,307.24,2023-11-02 16:05:00,Debit,San Jose,D000584,17.87.7.140,M096,ATM,19, Student ,136,2,1670.72,2024-11-04 08:09:00,16,Thursday,0,Medium
723,TX000912,AC00222,471.84,2023-09-29 17:31:00,Debit,Raleigh,D000163,137.33.78.168,M080,ATM,18,Student,138,1,1044.33,2024-11-04 08:08:00,17,Friday,0,High
724,TX000098,AC00011,25.36,2023-07-17 17:08:00,Debit, Louisville ,D000192,62.152.134.92,M007,ATM,57,Engineer,78,1,201.04,2024-11-04 08:11:00,17,Monday,0,Low
725,TX001763,AC00124,819.48,2023-10-05 16:27:00, Debit ,Virginia Beach,D000395,154.138.163.229,M038,ATM,25,Student,26,1,1804.5,2024-11-04 08:08:00,16,Thursday,0,High
726,TX001963,AC00427,118.06,2023-05-24 17:07:00,Credit,Las Vegas,D000441,7.146.35.122,M082,Branch,32,Doctor,31,1,13560.63,2024-11-04 08:07:00,17,Wednesday,0,Medium
727,TX002232,AC00089,67.17,2023-07-03 18:03:00,Debit, ##### ,D000564,101.223.82.253,M034,Online,63, Doctor ,48,1,14410.44,2024-11-04 08:08:00,18,Monday,1,Low
728,TX001218,AC00381,,2023-09-25 18:46:00,Debit,Memphis,D000412,6.204.110.7,M062,Branch,32, Engineer ,89,1,"$9,968.49",2024-11-04 08:09:00,18,Monday,0,
729,TX000872,AC00482,,2024-01-01 16:53:00,Credit,Tucson,D000055,8.244.162.185,M015,ATM,38,Engineer,269,1,6972.5,2024-11-04 08:11:00,16,Monday,0,
730,TX001838,AC00219,118.1,2023-09-25 16:07:00,Debit,Fort Worth,D000274,62.27.235.199,M058,ATM,50,Engineer,50,1,7976.6,2024-11-04 08:12:00,16,Monday,0,Medium
731,TX000015,AC00085,,2023-02-13 16:53:00,Debit,Louisville,D000309,188.124.181.12,M017,Online,18,Student,134,1,299.93,2024-11-04 08:10:00,16,Monday,0,
732,TX001177,AC00363,,2023-11-16 16:30:00,Debit,,D000033,153.178.166.93,M098,Branch,36, Engineer ,213,1,4515.43,2024-11-04 08:06:00,16,Thursday,0,
733,TX002035,AC00472,588.37,2023-01-05 17:48:00, Debit ,Dallas,D000482,49.20.211.229,M100,Online,28,Student,284,1,1926.08,2024-11-04 08:07:00,17,Thursday,0,High
734,TX000163,AC00257,60.65,2023-05-26 18:15:00,Credit,Tucson,D000456,10.144.131.89,M085,Branch,56,Retired,53,1,1047.28,2024-11-04 08:09:00,18,Friday,0,Low
735,TX001718,AC00121,,2023-01-09 17:27:00,Debit, Seattle ,D000255,146.69.70.214,M026,Online,38, Doctor ,157,1,5926.31,2024-11-04 08:09:00,17,Monday,0,
736,TX000029,AC00390,127.45,2023-01-24 16:18:00, Debit ,Las Vegas,,152.234.65.155,M092,Online,44,Doctor,197,1,1772.06,2024-11-04 08:11:00,16,Tuesday,0,Medium
737,TX002056,AC00292,120.67,2023-12-25 18:16:00,Debit,Colorado Springs,D000119,214.247.164.80,M040,ATM,42,Doctor,233,1,"$5,374.54",2024-11-04 08:12:00,18,Monday,0,Medium
738,TX002509,AC00322,251.54,2023-03-22 17:36:00, Debit ,Tucson,D000410,49.174.157.140,M029,Branch,48,Doctor,177,1,$254.75,2024-11-04 08:11:00,17,Wednesday,0,Medium
740,TX000263,AC00194,47.38,2023-02-08 18:18:00, Credit , Seattle ,D000388,150.231.20.169,M061,Online,25, Student ,61,1,459.37,2024-11-04 08:07:00,18,Wednesday,0,Low
741,TX001822,AC00102,54.8,2023-06-01 16:15:00, Debit ,,D000168,87.50.72.69,M093,Branch,34,Engineer,140,1,"$4,943.49",2024-11-04 08:08:00,16,Thursday,0,Low
742,TX000415,AC00495,83.5,2023-05-15 18:47:00,Debit, Dallas ,D000446,34.92.221.183,M100,Branch,61,Retired,91,5,1749.79,2024-11-04 08:07:00,18,Monday,1,Low
743,TX000549,AC00041,124.59,2023-05-05 17:32:00,Debit,Charlotte,D000037,85.239.236.80,M025,Branch,27, Student ,171,1,129.29,2024-11-04 08:09:00,17,Friday,0,Medium
744,TX000242,AC00215,588.54,2023-02-06 17:57:00, Debit ,Portland,D000609,211.97.88.141,M031,Branch,32,Engineer,130,1,714.45,2024-11-04 08:10:00,17,Monday,0,High
745,TX000342,AC00171,26.06,2023-12-21 17:01:00,Debit, San Diego ,D000689,140.212.253.222,M096,ATM,65,Doctor,283,1,12893.63,2024-11-04 08:12:00,17,Thursday,1,Low
746,TX002127,AC00242,84.91,2023-10-16 18:38:00, Debit ,,,141.201.46.191,M034,Online,18,Student,68,1,1671.86,2024-11-04 08:06:00,18,Monday,0,Low
747,TX000625,AC00425,,2023-09-20 16:37:00,Debit, Philadelphia ,D000203,115.30.82.168,M046,ATM,53, Engineer ,95,1,5670.0,2024-11-04 08:10:00,16,Wednesday,0,
748,TX000758,AC00190,332.59,2023-07-13 17:50:00,Debit, San Antonio ,D000163,166.41.54.117,M060,Online,55,Retired,143,1,1457.07,2024-11-04 08:09:00,17,Thursday,0,High
749,TX000946,AC00432,,2023-07-24 17:09:00,Debit,,D000027,31.75.105.19,M032,ATM,36, Doctor ,67,1,9697.75,2024-11-04 08:12:00,17,Monday,0,
750,TX001166,AC00393,161.1,2023-04-10 17:28:00, Credit , Miami ,,117.67.192.211,M002,ATM,19,Student,104,1,239.12,2024-11-04 08:10:00,17,Monday,0,Medium
751,TX002263,AC00279,15.81,2023-03-02 18:36:00,Debit,Oklahoma City,D000606,96.24.89.146,M018,Branch,69, Doctor ,11,4,8384.85,2024-11-04 08:12:00,18,Thursday,1,Low
752,TX001732,AC00333,1.93,2023-10-19 18:06:00, Debit ,Chicago,D000297,162.58.247.55,M030,Branch,47,Doctor,175,5,"$5,684.09",2024-11-04 08:08:00,18,Thursday,0,Low
753,TX001792,AC00005,680.76,2023-02-27 16:38:00, Debit , Kansas City ,,60.89.202.192,M011,Branch,21,Student,165,1,572.97,2024-11-04 08:09:00,16,Monday,0,High
754,TX001476,AC00229,114.23,2023-06-07 17:35:00,Debit,Dallas,D000213,106.244.1.47,M089,ATM,56,Doctor,64,1,9523.72,2024-11-04 08:06:00,17,Wednesday,0,Low
755,TX000005,AC00411,13.45,2023-10-16 17:51:00,Credit,Atlanta,D000308,65.164.3.100,M091,Online,26,Student,198,1,7429.4,2024-11-04 08:06:00,17,Monday,0,Low
756,TX000530,AC00265,,2023-01-17 16:48:00,Credit,Omaha,,87.50.72.69,M070,Online,21,Student,128,1,1240.71,2024-11-04 08:07:00,16,Tuesday,0,
757,TX001831,AC00396,198.92,2023-10-23 16:47:00,Debit,Milwaukee,,4.101.189.38,M020,Online,36,Engineer,100,1,2854.66,2024-11-04 08:10:00,16,Monday,0,Medium
759,TX000264,AC00319,512.81,2023-07-19 16:57:00,Debit,Sacramento,D000611,82.75.200.117,M004,Branch,79,Retired,30,1,6994.34,2024-11-04 08:11:00,16,Wednesday,1,High
760,TX001378,AC00063,116.88,2023-10-04 17:10:00, Debit ,Memphis,D000024,23.163.145.195,M026,ATM,45,Doctor,263,1,7717.34,2024-11-04 08:10:00,17,Wednesday,0,Low
761,TX002381,AC00098,1173.74,2023-09-25 16:44:00, Credit ,Virginia Beach,D000639,193.190.29.63,M086,Online,61,Doctor,61,1,10456.24,2024-11-04 08:07:00,16,Monday,1,High
762,TX001720,AC00490,304.75,2023-02-27 16:07:00, Credit ,Austin,D000499,200.13.225.150,M096,Branch,78, Retired ,125,1,1916.34,2024-11-04 08:07:00,16,Monday,1,Medium
763,TX000557,AC00083,2.03,2024-01-01 16:07:00,Credit,Detroit,D000271,112.86.148.212,M012,ATM,33, Engineer ,28,1,3012.31,2024-11-04 08:08:00,16,Monday,0,Low
764,TX002356,AC00238,335.68,2023-11-06 17:20:00,Debit,Tucson,D000558,86.83.61.143,M062,Online,24,Student,142,1,1188.95,2024-11-04 08:11:00,17,Monday,0,High
765,TX002068,AC00179,994.63,2023-06-21 16:00:00, Debit ,Austin,D000345,147.119.62.178,M030,Online,61, Doctor ,158,1,13538.14,2024-11-04 08:09:00,16,Wednesday,1,High
766,TX000198,AC00107,20.36,2023-07-24 17:02:00,Debit, Tucson ,D000082,96.115.67.230,M069,Branch,62, Retired ,75,1,2762.48,2024-11-04 08:11:00,17,Monday,1,Low
767,TX001785,AC00030,251.4,2023-07-05 16:52:00,Debit, Tucson ,D000502,189.20.224.220,M023,ATM,57,Retired,178,1,2561.67,2024-11-04 08:11:00,16,Wednesday,0,Medium
768,TX000057,AC00271,60.54,2023-12-14 17:52:00,Credit,Columbus,D000462,1.198.76.182,M095,Branch,57,Retired,52,1,"$3,534.93",2024-11-04 08:09:00,17,Thursday,0,Low
769,TX000174,AC00298,260.88,2023-05-29 16:50:00,Debit,Denver,D000327,184.59.28.72,M094,Branch,22, Student ,36,1,903.05,2024-11-04 08:06:00,16,Monday,0,Medium
770,TX001591,AC00172,1143.67,2023-10-30 16:18:00,Debit,Atlanta,D000056,184.4.253.143,M048,Online,66, Retired ,111,1,7677.76,2024-11-04 08:10:00,16,Monday,1,High
771,TX000959,AC00282,280.61,2023-11-27 16:37:00,Debit, Mesa ,D000485,186.135.2.148,M085,ATM,47,Engineer,129,3,7888.76,2024-11-04 08:10:00,16,Monday,0,Medium
772,TX001832,AC00402,,2023-10-26 16:52:00,Debit,Detroit,D000260,145.76.10.8,M067,Branch,58,Engineer,44,1,"$2,631.47",2024-11-04 08:07:00,16,Thursday,0,
773,TX000765,AC00329,542.72,2023-09-04 18:37:00, Credit ,Indianapolis,D000573,34.86.220.205,M100,Branch,43,Doctor,92,1,"$6,011.80",2024-11-04 08:08:00,18,Monday,0,High
774,TX002085,AC00428,1116.57,2023-02-23 16:54:00,Debit,Tucson,D000204,135.73.131.111,M005,ATM,56,Retired,104,1,1393.14,2024-11-04 08:07:00,16,Thursday,0,High
775,TX000661,AC00257,326.29,2023-12-06 17:10:00, Debit ,Denver,D000184,6.44.165.160,M025,Online,56,Engineer,179,1,8171.26,2024-11-04 08:10:00,17,Wednesday,0,Medium
776,TX001519,AC00271,213.42,2023-07-27 17:30:00,Debit,Columbus,D000536,133.67.250.163,M052,ATM,45,Engineer,17,1,3736.38,2024-11-04 08:11:00,17,Thursday,0,Medium
777,TX000182,AC00149,453.54,2023-04-19 16:36:00, Debit ,Albuquerque,D000150,223.32.70.156,M017,ATM,58, Doctor ,82,1,"$12,046.30",2024-11-04 08:12:00,16,Wednesday,0,High
778,TX000681,AC00328,139.72,2023-01-16 17:53:00,Debit,Memphis,D000516,219.98.242.240,M033,Branch,49, Engineer ,201,1,5058.83,2024-11-04 08:08:00,17,Monday,0,Medium
779,TX001111,AC00345,390.77,2023-10-30 16:02:00,Debit,Portland,D000548,180.224.54.115,M045,Online,44,Doctor,34,1,5500.56,2024-11-04 08:09:00,16,Monday,0,High
780,TX000368,AC00087,43.85,2023-03-13 16:25:00, Debit , Fresno ,D000092,117.67.192.211,M013,ATM,62,Retired,122,1,4356.98,2024-11-04 08:07:00,16,Monday,1,Low
781,TX001557,AC00470,170.97,2023-05-01 17:04:00,Debit, Nashville ,D000259,187.52.200.18,M044,Branch,26, Student ,292,1,1265.27,2024-11-04 08:07:00,17,Monday,0,Medium
782,TX000970,AC00280,,2023-08-21 18:06:00,Credit, Los Angeles ,,101.90.40.193,M019,Online,73,Retired,40,1,3022.12,2024-11-04 08:07:00,18,Monday,1,
783,TX001852,AC00237,167.92,2023-06-26 17:54:00,Debit,Memphis,,214.125.131.88,M050,ATM,40,Doctor,136,2,14321.73,2024-11-04 08:08:00,17,Monday,0,Medium
784,TX000070,AC00395,189.12,2023-11-13 16:42:00,Credit,,D000684,125.89.163.224,M040,Branch,32,Engineer,103,1,977.01,2024-11-04 08:08:00,16,Monday,0,Medium
785,TX000155,AC00087,376.26,2023-02-15 16:41:00,Debit, Tucson ,D000481,82.88.241.226,M081,ATM,37, Engineer ,245,1,9062.4,2024-11-04 08:09:00,16,Wednesday,0,High
786,TX001364,AC00089,,2023-09-21 16:08:00,Debit,Oklahoma City,D000359,141.201.46.191,M032,Branch,49, Doctor ,95,5,5117.03,2024-11-04 08:10:00,16,Thursday,0,
787,TX001769,AC00267,192.97,2023-03-13 16:10:00,Debit,Sacramento,D000042,100.198.165.4,M098,ATM,59, Retired ,140,1,3019.04,2024-11-04 08:06:00,16,Monday,0,Medium
788,TX001116,AC00245,42.58,2023-02-06 16:32:00, Debit , San Jose ,D000388,214.247.164.80,M057,Online,30, Doctor ,80,1,13485.0,2024-11-04 08:10:00,16,Monday,0,Low
789,TX000736,AC00045,244.64,2023-02-21 18:41:00,Debit,Tucson,,66.255.7.16,M072,Branch,30,Doctor,103,1,9159.56,2024-11-04 08:06:00,18,Tuesday,0,Medium
791,TX002097,AC00334,292.38,2023-05-15 16:49:00,Debit,,D000687,3.11.254.2,M001,ATM,68,Doctor,224,1,5803.89,2024-11-04 08:09:00,16,Monday,1,Medium
792,TX002385,AC00190,602.8,2023-03-20 17:25:00, Debit ,,D000333,170.225.23.251,M003,Branch,60,Retired,173,1,7417.69,2024-11-04 08:10:00,17,Monday,1,High
793,TX002022,AC00345,889.01,2023-08-29 17:55:00,Debit, ##### ,D000299,198.166.198.233,M030,Online,36,Engineer,169,1,"$4,826.88",2024-11-04 08:11:00,17,Tuesday,0,High
794,TX001807,AC00025,350.11,2023-03-13 17:10:00,Credit,,D000510,24.181.236.233,M050,Online,74, Retired ,178,1,4639.04,2024-11-04 08:08:00,17,Monday,1,High
795,TX000797,AC00417,51.07,2023-01-23 18:06:00, Debit ,Dallas,D000114,162.198.218.92,M017,Branch,63, Retired ,133,1,4292.16,2024-11-04 08:12:00,18,Monday,1,Low
796,TX000044,AC00117,55.32,2023-04-12 16:03:00, Debit ,,D000197,173.135.78.201,M009,ATM,19, Student ,117,1,$241.79,2024-11-04 08:08:00,16,Wednesday,0,Low
797,TX002086,AC00019,291.46,2023-02-08 16:29:00,Debit,Miami,D000665,149.84.108.18,M046,ATM,57, Retired ,135,1,7142.53,2024-11-04 08:10:00,16,Wednesday,0,Medium
798,TX000935,AC00456,1022.75,2023-01-19 16:45:00,Credit,San Jose,D000294,190.164.160.79,M091,Branch,62,Doctor,158,1,207.74,2024-11-04 08:10:00,16,Thursday,1,High
799,TX001334,AC00250,840.16,2023-03-20 16:35:00,Credit,,D000692,23.163.145.195,M014,Branch,20,Student,68,1,1236.76,2024-11-04 08:12:00,16,Monday,0,High
800,TX001210,AC00125,476.03,2023-09-01 16:12:00, Credit , Houston ,D000470,130.92.201.49,M003,Branch,77, Retired ,99,1,5958.34,2024-11-04 08:09:00,16,Friday,1,High
801,TX000407,AC00401,364.42,2023-10-10 17:07:00, Debit ,Colorado Springs,D000469,120.32.147.210,M078,ATM,51, Engineer ,146,1,8119.73,2024-11-04 08:09:00,17,Tuesday,0,High
802,TX000261,AC00085,75.15,2023-09-18 17:31:00,Debit,Boston,D000014,135.29.211.116,M094,ATM,23,Student,154,1,1092.92,2024-11-04 08:11:00,17,Monday,0,Low
805,TX001667,AC00296,506.03,2023-07-12 16:14:00, Debit ,Detroit,D000669,115.30.82.168,M100,Branch,21, Student ,21,1,1123.89,2024-11-04 08:09:00,16,Wednesday,0,High
806,TX002281,AC00137,,2023-07-06 18:09:00,Debit, Fort Worth ,D000288,129.108.48.116,M037,Online,36,Engineer,68,1,"$9,238.08",2024-11-04 08:08:00,18,Thursday,0,
808,TX001989,AC00278,291.68,2023-08-07 18:07:00,Debit, Columbus ,D000021,72.128.135.172,M058,ATM,21,Student,90,1,1451.02,2024-11-04 08:11:00,18,Monday,0,Medium
809,TX000248,AC00337,492.06,2023-10-19 16:14:00,Debit,Fresno,D000411,60.166.231.236,M012,Online,23,Student,74,1,$857.90,2024-11-04 08:09:00,16,Thursday,0,High
810,TX001008,AC00311,297.15,2023-10-12 18:11:00, Debit ,Phoenix,D000273,122.94.26.104,M034,Online,76, Retired ,178,1,5449.37,2024-11-04 08:10:00,18,Thursday,1,Medium
811,TX001317,AC00125,220.23,2023-09-18 18:35:00, Debit , Milwaukee ,D000663,19.20.13.234,M059,ATM,41, Engineer ,48,1,"$3,438.02",2024-11-04 08:06:00,18,Monday,0,Medium
812,TX001794,AC00432,11.09,2023-10-31 16:54:00,Debit,Charlotte,D000137,41.110.46.150,M094,Branch,51,Engineer,95,1,2990.05,2024-11-04 08:10:00,16,Tuesday,0,Low
813,TX000833,AC00444,157.7,2023-12-01 17:29:00,Credit,Omaha,D000075,21.190.11.223,M019,Branch,58,Engineer,46,1,8332.58,2024-11-04 08:11:00,17,Friday,0,Medium
814,TX002162,AC00139,10.15,2023-02-23 16:51:00,Debit,Austin,D000531,55.139.104.163,M004,ATM,59,Doctor,58,5,7155.04,2024-11-04 08:11:00,16,Thursday,0,Low
815,TX001960,AC00272,758.77,2023-06-23 16:12:00,Debit, San Antonio ,D000332,163.69.89.200,M009,ATM,60, Engineer ,114,1,7231.47,2024-11-04 08:08:00,16,Friday,1,High
817,TX000728,AC00012,137.49,2023-07-26 16:54:00, Debit ,Fort Worth,D000159,42.61.10.112,M040,ATM,34,Engineer,50,1,"$4,471.05",2024-11-04 08:07:00,16,Wednesday,0,Medium
818,TX002031,AC00186,199.23,2023-09-04 16:04:00,Debit, Tucson ,D000183,24.148.92.177,M052,ATM,29,Engineer,54,1,9834.0,2024-11-04 08:07:00,16,Monday,0,Medium
820,TX000601,AC00184,110.49,2023-10-31 17:06:00,Debit,Raleigh,D000449,187.52.200.18,M068,Online,57,Doctor,48,1,10483.93,2024-11-04 08:12:00,17,Tuesday,0,Low
821,TX002297,AC00408,308.23,2023-04-17 16:12:00,Debit,Las Vegas,D000008,198.73.211.114,M058,ATM,60,Retired,23,1,4150.63,2024-11-04 08:11:00,16,Monday,1,Medium
822,TX001772,AC00181,40.9,2023-06-01 18:27:00,Debit,Charlotte,D000536,5.74.9.122,M024,ATM,55,Doctor,37,1,1514.34,2024-11-04 08:11:00,18,Thursday,0,Low
823,TX002336,AC00048,14.1,2023-12-25 17:13:00, Debit ,Louisville,D000099,164.75.163.220,M027,Branch,45,Engineer,73,1,6949.21,2024-11-04 08:08:00,17,Monday,0,Low
824,TX000391,AC00251,426.93,2023-12-25 17:05:00,Debit,Omaha,D000129,3.70.1.133,M054,ATM,19,Student,248,1,$476.19,2024-11-04 08:09:00,17,Monday,0,High
825,TX001914,AC00290,41.93,2023-02-13 16:44:00,Debit, Fresno ,,211.45.75.44,M055,ATM,48, Engineer ,136,1,5081.26,2024-11-04 08:06:00,16,Monday,0,Low
826,TX001289,AC00468,19.11,2023-09-18 16:31:00,Credit,,D000546,148.25.159.90,M007,Online,49,Engineer,160,1,"$8,478.46",2024-11-04 08:11:00,16,Monday,0,Low
827,TX001630,AC00334,378.2,2023-01-09 17:12:00,Debit,Mesa,D000588,21.122.39.207,M008,Branch,40,Engineer,167,1,7372.81,2024-11-04 08:11:00,17,Monday,0,High
828,TX001940,AC00363,533.61,2023-12-20 16:17:00, Debit , Mesa ,D000324,66.255.7.16,M043,Online,48,Engineer,115,1,3656.93,2024-11-04 08:11:00,16,Wednesday,0,High
829,TX001987,AC00188,92.5,2023-09-25 16:22:00, Credit ,Seattle,D000520,113.137.153.101,M080,Online,40,Engineer,70,1,6295.45,2024-11-04 08:08:00,16,Monday,0,Low
830,TX001862,AC00131,88.29,2023-01-20 16:46:00,Credit,Houston,D000101,194.29.57.163,M039,Online,50, Engineer ,287,1,5245.93,2024-11-04 08:09:00,16,Friday,0,Low
831,TX000980,AC00147,,2023-11-20 17:17:00, Debit ,,D000661,191.91.45.159,M001,Online,59, Doctor ,14,1,9028.49,2024-11-04 08:10:00,17,Monday,0,
832,TX000993,AC00090,839.33,2023-05-02 16:03:00,Credit,Louisville,D000579,174.61.77.54,M071,Branch,60,Doctor,86,1,11538.97,2024-11-04 08:09:00,16,Tuesday,1,High
833,TX001474,AC00030,384.41,2023-04-17 16:53:00,Debit,Jacksonville,,168.55.199.214,M093,ATM,60,Engineer,65,1,"$7,831.56",2024-11-04 08:10:00,16,Monday,1,High
834,TX001375,AC00447,211.69,2023-10-20 16:02:00,Debit,Atlanta,,200.13.225.150,M066,Branch,30,Doctor,111,1,6412.85,2024-11-04 08:07:00,16,Friday,0,Medium
835,TX001252,AC00153,95.78,2023-03-23 17:09:00, Debit , Atlanta ,D000211,221.23.158.87,M061,Online,22,Student,27,1,271.64,2024-11-04 08:09:00,17,Thursday,0,Low
836,TX001992,AC00329,259.49,2023-06-09 16:31:00,Debit,Austin,D000433,162.151.179.167,M045,Online,72,Retired,292,1,7320.61,2024-11-04 08:07:00,16,Friday,1,Medium
837,TX000921,AC00352,,2023-02-23 18:23:00, Debit , Memphis ,D000103,188.124.181.12,M094,Online,18, Student ,66,1,1690.23,2024-11-04 08:11:00,18,Thursday,0,
839,TX000494,AC00075,223.43,2023-02-08 17:59:00,Debit, Dallas ,D000095,198.73.211.114,M091,Branch,77, Retired ,178,1,7932.41,2024-11-04 08:09:00,17,Wednesday,1,Medium
840,TX001612,AC00259,35.94,2023-05-08 16:22:00, Credit , ##### ,D000187,149.84.108.18,M050,Branch,23,Student,141,1,1697.28,2024-11-04 08:09:00,16,Monday,0,Low
842,TX000179,AC00156,,2023-12-18 16:47:00,Debit,Phoenix,D000455,61.95.76.233,M049,Online,71,Retired,46,1,1182.77,2024-11-04 08:07:00,16,Monday,1,
843,TX001059,AC00120,730.1,2023-07-25 18:04:00, Credit ,Chicago,D000453,190.164.160.79,M053,Branch,77, Retired ,93,1,6384.05,2024-11-04 08:06:00,18,Tuesday,1,High
844,TX002397,AC00241,25.32,2023-03-07 17:49:00,Debit,Oklahoma City,D000422,9.230.41.239,M090,ATM,19,Student,25,1,1642.34,2024-11-04 08:09:00,17,Tuesday,0,Low
845,TX002140,AC00325,438.76,2023-02-13 16:48:00,Debit, San Antonio ,D000074,182.84.41.229,M072,Branch,22, Student ,73,1,"$1,824.19",2024-11-04 08:11:00,16,Monday,0,High
846,TX001986,AC00245,77.44,2023-06-26 16:28:00,Debit, Washington ,D000218,195.164.171.146,M011,Branch,58, Retired ,268,1,1950.63,2024-11-04 08:10:00,16,Monday,0,Low
847,TX000311,AC00386,49.99,2023-02-09 17:53:00,Debit,Omaha,D000668,155.140.33.42,M062,ATM,62,Retired,139,1,2299.64,2024-11-04 08:08:00,17,Thursday,1,Low
848,TX001095,AC00441,86.41,2023-03-27 17:54:00,Debit,Fresno,D000061,168.55.199.214,M099,ATM,75,Retired,125,1,3128.71,2024-11-04 08:11:00,17,Monday,1,Low
849,TX001011,AC00247,273.92,2023-05-08 17:54:00,Debit, Virginia Beach ,D000602,101.90.40.193,M086,Online,28,Student,35,1,1029.15,2024-11-04 08:09:00,17,Monday,0,Medium
850,TX000796,AC00161,199.47,2023-08-14 16:26:00,Debit,Detroit,D000585,82.88.241.226,M041,Online,57,Doctor,142,1,6067.44,2024-11-04 08:07:00,16,Monday,0,Medium
